country,year,rate
Austria,2008,3.2
Austria,2009,0.4
Austria,2010,1.7
Austria,2011,3.6
Austria,2012,2.6
Austria,2013,2.1
Austria,2014,1.5
Austria,2015,0.8
Austria,2016,1
Austria,2017,2.2
Austria,2018,2.1
Austria,2019,1.5
Belgium,2008,4.5
Belgium,2009,0
Belgium,2010,2.3
Belgium,2011,3.4
Belgium,2012,2.6
Belgium,2013,1.2
Belgium,2014,0.5
Belgium,2015,0.6
Belgium,2016,1.8
Belgium,2017,2.2
Belgium,2018,2.3
Belgium,2019,1.2
Bulgaria,2008,12
Bulgaria,2009,2.5
Bulgaria,2010,3
Bulgaria,2011,3.4
Bulgaria,2012,2.4
Bulgaria,2013,0.4
Bulgaria,2014,-1.6
Bulgaria,2015,-1.1
Bulgaria,2016,-1.3
Bulgaria,2017,1.2
Bulgaria,2018,2.6
Bulgaria,2019,2.5
Croatia,2008,5.8
Croatia,2009,2.2
Croatia,2010,1.1
Croatia,2011,2.2
Croatia,2012,3.4
Croatia,2013,2.3
Croatia,2014,0.2
Croatia,2015,-0.3
Croatia,2016,-0.6
Croatia,2017,1.3
Croatia,2018,1.6
Croatia,2019,0.8
Cyprus,2008,4.4
Cyprus,2009,0.2
Cyprus,2010,2.6
Cyprus,2011,3.5
Cyprus,2012,3.1
Cyprus,2013,0.4
Cyprus,2014,-0.3
Cyprus,2015,-1.5
Cyprus,2016,-1.2
Cyprus,2017,0.7
Cyprus,2018,0.8
Cyprus,2019,0.5
Czechia,2008,6.3
Czechia,2009,0.6
Czechia,2010,1.2
Czechia,2011,2.2
Czechia,2012,3.5
Czechia,2013,1.4
Czechia,2014,0.4
Czechia,2015,0.3
Czechia,2016,0.6
Czechia,2017,2.4
Czechia,2018,2
Czechia,2019,2.6
Denmark,2008,3.6
Denmark,2009,1
Denmark,2010,2.2
Denmark,2011,2.7
Denmark,2012,2.4
Denmark,2013,0.5
Denmark,2014,0.4
Denmark,2015,0.2
Denmark,2016,0
Denmark,2017,1.1
Denmark,2018,0.7
Denmark,2019,0.7
Estonia,2008,10.6
Estonia,2009,0.2
Estonia,2010,2.7
Estonia,2011,5.1
Estonia,2012,4.2
Estonia,2013,3.2
Estonia,2014,0.5
Estonia,2015,0.1
Estonia,2016,0.8
Estonia,2017,3.7
Estonia,2018,3.4
Estonia,2019,2.3
Finland,2008,3.9
Finland,2009,1.6
Finland,2010,1.7
Finland,2011,3.3
Finland,2012,3.2
Finland,2013,2.2
Finland,2014,1.2
Finland,2015,-0.2
Finland,2016,0.4
Finland,2017,0.8
Finland,2018,1.2
Finland,2019,1.1
France,2008,3.2
France,2009,0.1
France,2010,1.7
France,2011,2.3
France,2012,2.2
France,2013,1
France,2014,0.6
France,2015,0.1
France,2016,0.3
France,2017,1.2
France,2018,2.1
France,2019,1.3
Germany,2008,2.8
Germany,2009,0.2
Germany,2010,1.1
Germany,2011,2.5
Germany,2012,2.2
Germany,2013,1.6
Germany,2014,0.8
Germany,2015,0.7
Germany,2016,0.4
Germany,2017,1.7
Germany,2018,1.9
Germany,2019,1.4
Greece,2008,4.2
Greece,2009,1.3
Greece,2010,4.7
Greece,2011,3.1
Greece,2012,1
Greece,2013,-0.9
Greece,2014,-1.4
